sector,sector_label,mediatype,dominant_signal,htype,dc_type_de,count,mapped_general,mapped_mt_specific,mapped_any,rdf_type_w,rdf_type_m,mt_specific_class,mapping_source,justification
sparte001,Archive,AUDIO,dc:type,,Werbesendung,8,manual,n/a,yes,ec:EditorialWork,aco:AudioManifestation,,D2 manual annotation,"Advertising broadcast; intentional editorial production with defined authorship and broadcast intent → ec:EditorialWork at W. Audio carrier at Manifestation level → aco:AudioManifestation. Item slot deferred — audio I-level not modelled in current phase."
sparte001,Archive,PHOTO,dc:type,,Fotografie,1158,no,no,no,,,,,
sparte001,Archive,PHOTO,dc:type,,Brief,873,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,,Handschrift (Manuskript),803,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,,Bescheinigung,115,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,,Ansichtskarte,101,no,no,no,,,,,
sparte001,Archive,PHOTO,dc:type,,Liste,82,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,,Abschrift,78,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,,Druckgrafik,51,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,,Drucksache,26,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,,Gedicht,23,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Archivale,920,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Bilder,310,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,,232,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Bild,110,no,no,no,,,,,
sparte001,Archive,PHOTO,dc:type,htype_034,Akten,45,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Plakate und Flugblätter,15,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Sonstiges,14,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Urkunden,10,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Archivalie – Korrespondenz,7,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_034,Karten und Pläne,7,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,PHOTO,dc:type,htype_035,Bilder,2,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte001,Archive,TEXT,both,htype_021,Monografie,1,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_026,Text,2993,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Sachakte,853,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Archivale,404,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,,85,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Verzeichnung,42,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Urkunden,29,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Urkunde,20,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Akten,16,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Drucksache,9,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Gliederung,7,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_034,Akte,2,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_035,Dokument,18626,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_035,Akte,7,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_035,Personenakten,6,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_035,Urkunden,5,no,n/a,no,,,,,
sparte001,Archive,TEXT,both,htype_035,"Amtsbücher, Register und Grundbücher",2,no,n/a,no,,,,,
sparte001,Archive,VIDEO,dc:type,,Interview,7,yes,yes,yes,,http://www.ebu.ch/metadata/ontologies/ebucoreplus#EditorialWork,ebucoreplus:EditorialWork,lookup_dctype_to_class.csv | ebucoreplus | Recorded interview; archival sector.; output/config/video_type2class.json | Recorded interview; archival sector.,
sparte002,Library,ANY,dc:type,,Buchbeitrag,10,no,n/a,no,,,,,
sparte002,Library,ANY,dc:type,,Artikel,7,no,n/a,no,,,,,
sparte002,Library,ANY,dc:type,,,6,no,n/a,no,,,,,
sparte002,Library,ANY,dc:type,,Buch,2,no,n/a,no,,,,,
sparte002,Library,AUDIO,dc:type,,Musikaufführung,12,no,no,no,,,,,
sparte002,Library,PHOTO,both,,Grafik,147,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte002,Library,PHOTO,both,,Druckgraphik,67,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte002,Library,PHOTO,both,,Fotografie,43,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte002,Library,PHOTO,both,,Buchmalerei,38,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
sparte002,Library,PHOTO,both,,Druck,36,yes,yes,yes,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho:Manifestation,lookup_dctype_to_class.csv | mocho | Default (D9); output/config/image_type2class.json | Default (D9),
